"URL","Title","Description","Provider","Timestamp"
"https://zenodo.org/record/7744048","SciQA benchmark: Dataset and RDF dump","SciQA benchmark of questions and queries. The data dump is in NTriples format (RDF NT) taken from the ORKG system on 14.02.2023 at 02:04PM. The dump can be imported into a virtuoso endpoint or any RDF engine so it can be queried. The questions/queries are provided as JSON files, also train and test files are provided for each of the sets.  Types...","Zenodo","2023-05-05T02:45:27.009000+00:00"
"https://huggingface.co/datasets/teknium/GPT4-LLM-Cleaned","teknium/GPT4-LLM-Cleaned · Datasets at Hugging Face",,,"2023-05-04T08:36:23.485000+00:00"
"https://github.com/MahmoudAshraf97/whisper-diarization","GitHub - MahmoudAshraf97/whisper-diarization: Automatic Speech Reco...","Automatic Speech Recognition with Speaker Diarization based on OpenAI Whisper - GitHub - MahmoudAshraf97/whisper-diarization: Automatic Speech Recognition with Speaker Diarization based on OpenAI W...","GitHub","2023-05-03T20:50:59.346000+00:00"
"https://www.kaggle.com/datasets/hijest/englishrussian-dictionary-for-machine-translate","English-Russian dictionary for machine translate","Test your knowledge in machine translation",,"2023-05-03T20:16:23.589000+00:00"
"https://www.kaggle.com/datasets/thoughtvector/customer-support-on-twitter","Customer Support on Twitter","Over 3 million tweets and replies from the biggest brands on Twitter",,"2023-05-03T20:14:16.992000+00:00"
"https://huggingface.co/datasets/spdenisov/tatoeba/blob/main/processed/blink.json","processed/blink.json · spdenisov/tatoeba at main",,,"2023-05-03T16:07:33.217000+00:00"
"https://huggingface.co/datasets/clips/20Q","clips/20Q · Datasets at Hugging Face",,,"2023-05-03T15:50:25.548000+00:00"
"https://huggingface.co/datasets/spdenisov/tatoeba","spdenisov/tatoeba · Datasets at Hugging Face",,,"2023-05-02T23:45:06.170000+00:00"
"https://huggingface.co/datasets/spdenisov/udt_alpaca","spdenisov/udt_alpaca · Datasets at Hugging Face",,,"2023-05-02T17:19:39.958000+00:00"
"https://huggingface.co/datasets/spdenisov/wsd_semcor","spdenisov/wsd_semcor · Datasets at Hugging Face",,,"2023-05-02T16:24:46.287000+00:00"
"https://huggingface.co/datasets/reasoning-machines/gsm-hard","reasoning-machines/gsm-hard · Datasets at Hugging Face",,,"2023-05-02T10:10:59.193000+00:00"
"https://huggingface.co/datasets/gsm8k","gsm8k · Datasets at Hugging Face",,,"2023-05-02T10:10:46.984000+00:00"
"https://huggingface.co/datasets/0x22almostEvil/multilingual-wikihow-qa-16k/","0x22almostEvil/multilingual-wikihow-qa-16k · Datasets at Hugging Face",,,"2023-05-01T16:42:23.105000+00:00"
"https://huggingface.co/datasets/bigcode/the-stack","bigcode/the-stack · Datasets at Hugging Face",,,"2023-05-01T11:43:32.672000+00:00"
"https://huggingface.co/datasets/allenai/lila","allenai/lila · Datasets at Hugging Face",,,"2023-05-01T02:37:46.585000+00:00"
"https://en.wikipedia.org/wiki/Automated_theorem_proving","Automated theorem proving","Automated theorem proving (also known as ATP or automated deduction) is a subfield of automated reasoning and mathematical logic dealing with proving mathematical theorems by computer programs.  Automated reasoning over mathematical proof was a major impetus for the development of computer science.",,"2023-04-29T21:23:24.829000+00:00"
"https://en.wikipedia.org/wiki/Peano_axioms","Peano axioms","In mathematical logic, the Peano axioms, also known as the Dedekind–Peano axioms or the Peano postulates, are axioms for the natural numbers presented by the 19th century Italian mathematician Giuseppe Peano. These axioms have been used nearly unchanged in a number of metamathematical investigations, including research into fundamental questions...",,"2023-04-29T21:16:03.594000+00:00"
"https://huggingface.co/datasets/yuzaboto/VioletSalvia/tree/main/v1","yuzaboto/VioletSalvia at main",,,"2023-04-28T21:07:59.504000+00:00"
"https://huggingface.co/datasets/yuzaboto/VioletSalvia","yuzaboto/VioletSalvia · Datasets at Hugging Face",,,"2023-04-27T22:44:36.302000+00:00"
"https://github.com/OpenLMLab/MOSS/blob/main/README_en.md","MOSS/README_en.md at main · OpenLMLab/MOSS","An open-source tool-augmented conversational language model from Fudan University - MOSS/README_en.md at main · OpenLMLab/MOSS","GitHub","2023-04-26T13:24:15.846000+00:00"
"https://objaverse.allenai.org/","Objaverse","Objaverse is a Massive Dataset of 800K+ Annotated 3D Objects",,"2023-04-26T10:31:43.466000+00:00"
